Job Title,Job Description,Required Skills,Location,Company,Experience Level,Industry,Job Type
Software Engineer,Develop software,"Java, Python",London,ABC Tech,Entry-Level,Technology,Full-Time
Data Analyst,Analyze data,"SQL, Excel",Manchester,XYZ Analytics,Junior,Analytics,Full-Time
Network Engineer,Maintain networks,"Cisco, WAN",Birmingham,Network Solutions,Mid-Level,Networking,Full-Time
Cloud Architect,Design cloud,"AWS, Azure",Edinburgh,Cloud Innovators,Senior,Cloud Computing,Full-Time
Cybersecurity Analyst,Protect data,Cybersecurity,Glasgow,SecureGuard,Mid-Level,Security,Full-Time
IT Project Manager,Manage projects,"PMP, Agile",Leeds,Project Leaders,Senior,Project Management,Full-Time
Data Scientist,Analyze big data,"R, Python",Bristol,Data Insights,Mid-Level,Data Science,Full-Time
DevOps Engineer,Streamline devops,"Docker, Jenkins",Newcastle,DevOps Solutions,Mid-Level,DevOps,Full-Time
IT Support Analyst,Provide IT support,"Windows, Linux",Sheffield,IT Services,Entry-Level,Support,Full-Time
UX/UI Designer,Design user interfaces,UI/UX Design,Cardiff,Design Studios,Junior,Design,Full-Time
Database Analyst,Manage databases,"SQL, Oracle, Database Management",London,Data Solutions,Mid-Level,Database,Full-Time
UI Developer,Design user interfaces,"HTML, CSS, JavaScript",Manchester,Web Creations,Junior,Web Development,Full-Time
System Administrator,Maintain systems,"Windows Server, Active Directory",Birmingham,System Services,Mid-Level,IT Services,Full-Time
AI/ML Engineer,Develop AI models,"Python, TensorFlow, AI/ML",Edinburgh,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time
IT Auditor,Audit IT systems,"Audit, Risk Management",Glasgow,Audit Experts,Mid-Level,Audit,Full-Time
Network Security Engineer,Secure networks,"Firewall, VPN, Security",Leeds,SecureNet,Mid-Level,Security,Full-Time
Software Tester,Test software,"Manual Testing, Bug Tracking",Bristol,QA Solutions,Entry-Level,Quality Assurance,Full-Time
Cloud Solutions Architect,Design cloud solutions,"AWS, Azure, Architecture",Newcastle,Cloud Architects,Senior,Cloud Computing,Full-Time
IT Consultant,Provide IT consultancy,"Consulting, IT Strategy",Sheffield,IT Consultants,Senior,Consulting,Full-Time
Front-end Developer,Develop web interfaces,"JavaScript, React",Cardiff,Web Studios,Mid-Level,Web Development,Full-Time
Business Analyst,Analyze business needs,"Business Analysis, Requirements",London,Biz Analysts,Mid-Level,Business Analysis,Full-Time
IT Helpdesk Support,Provide IT support,"Troubleshooting, Customer Service",Manchester,IT Helpdesk,Entry-Level,Support,Full-Time
DevSecOps Engineer,Secure DevOps pipeline,"DevSecOps, CI/CD",Birmingham,Secure DevOps,Mid-Level,DevOps,Full-Time
Data Engineer,Build data pipelines,"ETL, Big Data, SQL",Edinburgh,Data Engineers,Mid-Level,Data Engineering,Full-Time
IT Trainer,Train IT professionals,"Training, IT Education",Glasgow,IT Training,Junior,Education,Full-Time
Cloud Security Engineer,Secure cloud,"Cloud Security, Encryption",Leeds,SecureCloud,Mid-Level,Security,Full-Time
IT Procurement Specialist,Procure IT resources,"Procurement, Vendor Management",Bristol,ProcureIT,Mid-Level,Procurement,Full-Time
UX Researcher,Conduct UX research,"User Research, UX Design",Newcastle,UX Labs,Mid-Level,Design,Full-Time
